steps,scenario,seed,ppo_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s,beats_all_fixed
1300000,Low,998988,7696858.0,13003745.0,40.8,7565385.0,-1.7,6155971.0,-25.0,False
1310000,Medium,540310,24734011.0,43247867.0,42.8,32636614.0,24.2,26397021.0,6.3,True
1320000,High,630203,63057904.0,123487368.0,48.9,81057416.0,22.2,64589336.0,2.4,True
1330000,Low,682383,4253827.0,14059200.0,69.7,6237813.0,31.8,4683970.0,9.2,True
1340000,Medium,473649,23699791.0,45685377.0,48.1,31119737.0,23.8,24434694.0,3.0,True
1350000,High,795924,59753377.0,120738002.0,50.5,78962522.0,24.3,62659005.0,4.6,True
1360000,Low,308038,48651139.0,14300186.0,-240.2,8044409.0,-504.8,6567060.0,-640.8,False
1370000,Medium,800694,60029408.0,47134487.0,-27.4,34030543.0,-76.4,26888955.0,-123.2,False
1380000,High,387182,113843969.0,121446913.0,6.3,80012754.0,-42.3,66476407.0,-71.3,False
1390000,Low,266505,12103863.0,13053741.0,7.3,5625192.0,-115.2,4188386.0,-189.0,False
1400000,Medium,137899,13611120.0,46169725.0,70.5,30956178.0,56.0,24066671.0,43.4,True
1410000,High,29043,93008694.0,116477768.0,20.1,73817747.0,-26.0,59898173.0,-55.3,False
1420000,Low,345041,25664178.0,19752779.0,-29.9,8623661.0,-197.6,4977617.0,-415.6,False
1430000,Medium,72294,53170570.0,48350656.0,-10.0,33086534.0,-60.7,27214978.0,-95.4,False
1440000,High,505380,923600538.0,125258379.0,-637.4,83176040.0,-1010.4,70219124.0,-1215.3,False
1450000,Low,626854,45237620.0,18688360.0,-142.1,7068628.0,-540.0,4174161.0,-983.8,False
1460000,Medium,169717,76716935.0,48624997.0,-57.8,33971955.0,-125.8,27214127.0,-181.9,False
1470000,High,789903,170175174.0,125010692.0,-36.1,82561056.0,-106.1,67651324.0,-151.5,False
1480000,Low,325787,45439144.0,14945905.0,-204.0,7765307.0,-485.2,5683536.0,-699.5,False
1490000,Medium,12105,939762566.0,46583587.0,-1917.4,31810084.0,-2854.3,25330426.0,-3610.0,False
1500000,High,436031,990975755.0,125373244.0,-690.4,79923193.0,-1139.9,67521724.0,-1367.6,False
1510000,Low,924789,54069515.0,16483562.0,-228.0,4597783.0,-1076.0,3797336.0,-1323.9,False
