model,scenario,seed,total_wait,arrived,switches
ck1010000,High,123,70188092.0,1706,108
ck1010000,High,42,76794180.0,1742,112
ck1050000,Low,42,53007950.0,675,130
ck1050000,Low,123,49965482.0,654,127
ck1050000,Medium,123,76346548.0,987,159
ck1050000,Medium,42,73726953.0,1092,166
ck1030000,High,123,166581272.0,1744,280
ck1030000,High,42,172418549.0,1699,302
ck1050000,High,42,175550352.0,1669,286
ck1050000,High,123,172065407.0,1719,281
ck1070000,Medium,123,89762825.0,1016,212
ck1070000,Low,42,927730656.0,584,334
ck1070000,Low,123,919053823.0,555,339
ck1070000,Medium,42,941821608.0,862,341
ck1070000,High,123,215440441.0,1754,452
ck1070000,High,42,225015611.0,1789,462
ck1090000,Medium,123,114843141.0,973,268
ck1090000,Low,42,929015867.0,568,325
ck1090000,Low,123,920505945.0,558,328
ck1090000,High,42,227843664.0,1780,496
ck1090000,High,123,218820431.0,1686,477
ck1090000,Medium,42,946963161.0,880,334
ck1110000,Medium,123,72719898.0,1001,167
ck1110000,Low,42,927736376.0,594,332
ck1130000,Low,42,53445753.0,720,131
ck1110000,Low,123,919053823.0,555,339
ck1130000,Low,123,49350728.0,645,125
ck1110000,High,42,198957817.0,1782,377
ck1110000,High,123,196021954.0,1690,367
ck1110000,Medium,42,944993090.0,851,338
ck1130000,Medium,42,68284351.0,1100,155
ck1130000,Medium,123,76346548.0,987,159
ck1150000,Low,42,54771153.0,689,134
ck1130000,High,42,175550352.0,1669,286
ck1150000,Low,123,47502583.0,678,120
ck1130000,High,123,172065407.0,1719,281
ck1150000,Medium,42,68284351.0,1100,155
ck1150000,Medium,123,72121467.0,950,163
ck1170000,Low,42,51920472.0,694,147
