steps,scenario,total_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s
2910000,High,61548866.5,130514182.0,52.8,82248234.5,25.2,64791811.5,5.0
2930000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
2950000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
2970000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
2990000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3010000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3030000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3050000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3070000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3090000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3110000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3130000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3150000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3170000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3190000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3210000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3230000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3250000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3270000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3290000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3310000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3330000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3350000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3370000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3390000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3410000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3430000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3450000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3470000,High,62622820.0,130514182.0,52.0,82248234.5,23.9,64791811.5,3.3
3490000,High,62622820.0,130514182.0,52.0,82248234.5,23.9,64791811.5,3.3
3510000,High,62622820.0,130514182.0,52.0,82248234.5,23.9,64791811.5,3.3
3530000,High,61548866.5,130514182.0,52.8,82248234.5,25.2,64791811.5,5.0
3550000,High,61548866.5,130514182.0,52.8,82248234.5,25.2,64791811.5,5.0
3570000,High,61548866.5,130514182.0,52.8,82248234.5,25.2,64791811.5,5.0
3590000,High,61548866.5,130514182.0,52.8,82248234.5,25.2,64791811.5,5.0
10000,Low,42458618.5,13323576.0,-218.7,4299201.5,-887.6,3709842.5,-1044.5
30000,Low,93745535.0,13323576.0,-603.6,4299201.5,-2080.5,3709842.5,-2426.9
50000,Low,91113240.0,13323576.0,-583.8,4299201.5,-2019.3,3709842.5,-2356.0
70000,Low,920276872.0,13323576.0,-6807.1,4299201.5,-21305.8,3709842.5,-24706.4
90000,Low,922670816.5,13323576.0,-6825.1,4299201.5,-21361.4,3709842.5,-24770.9
110000,Low,922752851.5,13323576.0,-6825.7,4299201.5,-21363.4,3709842.5,-24773.1
